SN,Book,Page,Slot,Occasion,Year,TAG,CUE,Mux Upload Comments,Mux Asset ID,Mux Playback ID,Mux Caption ID,Full File Path,start_date,start_time,end_date,end_time,duration,segment_start_timecode,segment_end_timecode,absolute_path . only for corrob. delete if correct,Date,Time - Start,Time - End,,,,,"mapping to the exact NTDs. as of now only from `__agenda for BD2026, CN2026, SAn2026, haircut etc.txt`",ORIGIN FILE,,
1328.004,SD1,,1-2,BD2024+CN2024 (4outshows) - Countdown Show,2024,Outfit & Blazer Explanation,KEEP,A,Aa01KDsyxFFZg6fyG3Z6rWeCldEgr1lPK3bGUdg1fjcY,mPUVTc4h0201OwpC1gAedYB700kwGGdQetJCD0200p8qlgl4,N3FBPaNP1HdKLh009yJosgGwopRdtZT3jW01xeGzFT4sK5EkbiBSabwA,/Volumes/Untitled 1/PRIVATE/M4ROOT/CLIP/20240704_JPN1869.MP4,2024-07-04,03:40:50,2024-07-04,03:46:26,00:05:36,00:03:22,00:04:02,,,,,,,,,,,,
1328.005,SD1,,1-2,BD2024+CN2024 (4outshows) - Countdown Show,2024,Props & Symbolism,KEEP,A,Aa01KDsyxFFZg6fyG3Z6rWeCldEgr1lPK3bGUdg1fjcY,mPUVTc4h0201OwpC1gAedYB700kwGGdQetJCD0200p8qlgl4,N3FBPaNP1HdKLh009yJosgGwopRdtZT3jW01xeGzFT4sK5EkbiBSabwA,/Volumes/Untitled 1/PRIVATE/M4ROOT/CLIP/20240704_JPN1869.MP4,2024-07-04,03:40:50,2024-07-04,03:46:26,00:05:36,00:04:02,00:04:43,,,,,,,,,,,,
